what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1433711753628
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1433711753628
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1433711753628
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1433711753628
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1433711753628
started,bundle,com.altera.sbtgui.integration,10.1.0.153,"com.altera.sbtgui.integration",1433711753638
started,bundle,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch",1433711753638
started,bundle,com.altera.sbtgui.project,10.1.0.153,"com.altera.sbtgui.project",1433711753638
started,bundle,com.altera.systemconsole,10.1.0.153,"com.altera.systemconsole",1433711753638
started,bundle,com.altera.utilities,10.1.0.153,"com.altera.utilities",1433711753638
os,sysinfo,,,"win32",1433711753638
arch,sysinfo,,,"x86",1433711753638
ws,sysinfo,,,"win32",1433711753638
locale,sysinfo,,,"en_CA",1433711753638
processors,sysinfo,,,"4",1433711753638
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1433711753638
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1433711753638
java.specification.name,sysinfo,,,"Java Platform API Specification",1433711753638
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1433711753638
java.specification.version,sysinfo,,,"1.6",1433711753638
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1433711753638
java.version,sysinfo,,,"1.6.0_14",1433711753638
java.vm.info,sysinfo,,,"mixed mode",1433711753638
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1433711753638
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1433711753638
